base,best_auc,best_auc_cell,best_p5,best_p5_cell,cluster,n_drug,n_pockets,n_seeds,null_max_auc,perm_p,protein,reason,run,source,status,truth_type
0.2706,0.7181,exp|adj|R,0.8,exp|sym|R,CAS0002,23,10,85,0.6365,0.02,CAS_5AM5,,consensus_hop2,casbench,scored,curated_allosteric
0.1618,0.7193,binary|adj|green_lmax_0.05,0.4,binary|adj|R,P00489,22,10,136,0.6433,0.015,CB_1NOK,,consensus_hop2,cryptobench,scored,drug_contact
0.0408,0.9468,exp|adj|R,0.2,binary|adj|residLOG,Q5ZUA2,2,10,49,0.9078,0.33,CB_3AAR,,consensus_hop2,cryptobench,scored,drug_contact
0.0448,0.8958,gauss|adj|green_zero_0.01,0.2,gauss|adj|green_zero_0.05,Q5S3I3,3,10,67,0.828,0.215,CB_3GL0,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3VQ9,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
,,,,,,,,,,,CB_4JAX,seeds 77 drug 0,consensus_hop2,,not_scored,
0.1099,0.6741,harm|adj|R,0.4,harm|adj|R,P53590,10,10,91,0.6875,0.555,CB_5CAE,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_5IWI,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.1455,0.7261,harm|comb|R,0.4,exp|comb|residLOG,P9WNV1,8,10,55,0.7346,0.545,CB_6KSC,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6U9C,seeds 58 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CB_7Q00,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.0556,0.8353,harm|comb|R,0.2,binary|adj|green_zero_0.01,"NAD-dependent malic enzyme, mitochondrial",5,10,90,0.7719,0.155,ASB_1GZ3,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_1NH8,seeds 49 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_1UXV,seeds 63 drug 0,consensus_hop2,,not_scored,
0.1429,0.6934,harm|sym|R,0.6,binary|adj|p_peak,Pyruvate dehydrogenase kinase isozyme 2,9,10,63,0.7203,0.715,ASB_2BU8,,consensus_hop2,asbench,scored,curated_allosteric
0.0476,0.8278,exp|adj|green_zero_0.01,0.4,exp|adj|green_zero_0.01,"Tryptophan 2,3-dioxygenase",3,10,63,0.8421,0.585,ASB_2NW8,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,ASB_2R1R,seeds 75 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_2YLO,fpocket none,consensus_hop2,,not_scored,
,,,,,,,,,,,ASB_3ETE_1,seeds 68 drug 0,consensus_hop2,,not_scored,
0.1579,0.705,binary|adj|R,0.6,gauss|comb|residLOG,Pyruvate kinase,15,10,95,0.6702,0.2,ASB_3HQP,,consensus_hop2,asbench,scored,curated_allosteric
0.1622,0.668,gauss|comb|R,0.4,binary|adj|green_zero_0.05,Mitogen-activated protein kinase 8,12,10,74,0.6913,0.66,ASB_3O2M,,consensus_hop2,asbench,scored,curated_allosteric
0.0326,0.9026,binary|adj|R,0.2,binary|adj|p_peak,Pyruvate kinase PKM,3,10,92,0.8408,0.2,ASB_4G1N,,consensus_hop2,asbench,scored,curated_allosteric
0.0818,0.6447,gauss|adj|R,0.4,binary|comb|R,"Glycogen phosphorylase, muscle form",9,10,110,0.7075,0.91,ASB_4MRA,,consensus_hop2,asbench,scored,curated_allosteric
,,,,,,,,,,,CAS_1I2D,seeds 63 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CAS_1PSD,seeds 26 drug 0,consensus_hop2,,not_scored,
,,,,,,,,,,,CAS_2P9G,seeds 35 drug 0,consensus_hop2,,not_scored,
0.2264,0.5798,binary|sym|R,0.6,gauss|comb|R,CAS0002,24,10,106,0.6264,0.93,CAS_3I28,,consensus_hop2,casbench,scored,curated_allosteric
0.0886,0.7996,binary|adj|green_lmax_0.05,0.2,binary|adj|p_avg,CAS0001,7,10,79,0.7488,0.19,CAS_4JAD,,consensus_hop2,casbench,scored,curated_allosteric
0.28,0.6825,exp|sym|R,0.6,binary|adj|R,CAS0002,21,10,75,0.6407,0.135,CAS_5AHX,,consensus_hop2,casbench,scored,curated_allosteric
0.1831,0.691,exp|sym|R,0.4,exp|adj|R,CAS0002,13,10,71,0.6784,0.34,CAS_5AK4,,consensus_hop2,casbench,scored,curated_allosteric
0.2658,0.6732,binary|sym|R,0.6,binary|adj|R,CAS0002,21,10,79,0.6406,0.185,CAS_5AKX,,consensus_hop2,casbench,scored,curated_allosteric
0.2857,0.7116,binary|sym|green_zero_0.01,0.6,harm|sym|R,CAS0002,22,10,77,0.6491,0.09,CAS_5ALH,,consensus_hop2,casbench,scored,curated_allosteric
0.0217,0.9778,gauss|adj|green_zero_0.01,0.2,gauss|adj|green_zero_0.01,CAS0002,1,10,46,0.9646,0.675,CAS_5ALT,,consensus_hop2,casbench,scored,curated_allosteric
0.2895,0.6288,gauss|adj|R,0.8,binary|adj|R,CAS0002,22,10,76,0.6451,0.62,CAS_5ALY,,consensus_hop2,casbench,scored,curated_allosteric
0.0484,0.8588,harm|sym|residRAW,0.4,gauss|sym|residLOG,P18031,3,10,62,0.8541,0.545,CB_1BZJ,,consensus_hop2,cryptobench,scored,drug_contact
0.0732,0.7456,gauss|adj|green_zero_0.05,0.2,binary|sym|R,P02879,3,10,41,0.8559,0.96,CB_1RTC,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_3BGL,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
,,,,,,,,,,,CB_3KJR,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
,,,,,,,,,,,CB_4CON,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
0.0575,0.7805,harm|sym|green_lmax_0.05,0.4,exp|adj|green_zero_0.01,P07814,5,10,87,0.7672,0.405,CB_4K86,,consensus_hop2,cryptobench,scored,drug_contact
0.0625,0.8537,binary|adj|green_lmax_0.05,0.6,binary|adj|green_lmax_0.05,Q89ZX5,6,10,96,0.7487,0.045,CB_5CK1,,consensus_hop2,cryptobench,scored,drug_contact
0.0602,0.7179,binary|adj|green_zero_0.01,0.2,binary|adj|green_zero_0.05,O32553,5,10,83,0.7758,0.845,CB_5UXA,,consensus_hop2,cryptobench,scored,drug_contact
,,,,,,,,,,,CB_6NLF,selector empty: {'reason': 'no PASSer entry'},consensus_hop2,,not_scored,
,,,,,,,,,,,CB_6XQX,seeds 82 drug 0,consensus_hop2,,not_scored,
0.0312,0.9435,binary|sym|residLOG,0.2,binary|sym|p_avg,G3XDA2,2,10,64,0.9044,0.315,CB_8CN8,,consensus_hop2,cryptobench,scored,drug_contact
